a-b-firmware-image-update | A/B Firmware Image Update | aka: dual-bank firmware update, A/B partitions, seamless update, golden image / rollback (variants) | embedded-systems
authenticated-encryption | Authenticated Encryption | aka: AEAD, authenticated encryption with associated data, encrypt-then-MAC (generic construction), AES-GCM / ChaCha20-Poly1305 (realizations) | robustness-security
b-tree | B-tree | aka: B+ tree (leaf-linked variant) | data-structures
backpressure | Backpressure | aka: Create Back Pressure, flow control, Back Pressure (Nygard) | data-flow-buffering
balking | Balking | aka: balk | synchronization-coordination
batch-method | Batch Method | aka:  | construction-api
behavior-tree | Behavior Tree | aka: BT, behaviour tree, behavior DAG (Isla) | state-management
binary-heap-priority-queue | Binary Heap (Priority Queue) | aka: priority queue, min-heap, max-heap, d-ary heap (variant), pairing/Fibonacci heap (research variants, sibling corpus) | data-structures
binary-search-tree | Binary Search Tree | aka: BST, self-balancing BST, red-black tree (balanced variant), AVL tree (balanced variant), treap / splay tree (research variants, sibling corpus) | data-structures
binary-to-text-encoding | Binary-to-Text Encoding | aka: Base64, Base32, Base16/hex encoding, quoted-printable, ASCII armor | serialization-framing
bit-banging | Bit Banging | aka: software-driven serial protocol, GPIO protocol emulation | communication
bit-stuffing | Bit Stuffing | aka: zero-bit insertion, HDLC bit stuffing | serialization-framing
bitmap-bitset | Bitmap / Bitset | aka: bit array, bit vector, bitset, Roaring bitmap (compressed variant) | data-structures
bitmap-index | Bitmap Index | aka: bit-map index, bitmapped index, bit-sliced index (variant), bitmap join index (variant), encoded bitmap index (variant) | data-structures
bloom-filter | Bloom Filter | aka: counting Bloom filter (deletable variant), blocked Bloom filter, cuckoo filter (alternative with deletion), XOR filter (static alternative) | data-structures
bootloader-jump-handoff | Bootloader Jump / Handoff | aka: jump to application, bootloader-to-app transition, vector table relocation on boot | embedded-systems
boundary-tags | Boundary Tags | aka: boundary tag coalescing, header/footer block tags | resource-management
bounding-volume-hierarchy | Bounding Volume Hierarchy | aka: BVH, AABB tree | data-structures
bridge | Bridge | aka: Handle/Body, Pimpl, compilation firewall, Cheshire Cat, pointer to implementation | oo-patterns
brown-out-handling | Brown-Out Handling | aka: brown-out detection, BOD, brown-out reset (BOR), low-voltage detect | error-handling
buddy-memory-allocation | Buddy Memory Allocation | aka: buddy system, binary buddy allocator | resource-management
buffer-pool | Buffer Pool | aka: page cache, buffer manager, buffer cache | caching-memoization
builder | Builder | aka:  | oo-patterns
built-in-self-test | Built-In Self-Test | aka: BIST, power-on self-test (POST), startup self-test, periodic self-test | error-handling
bulkhead | Bulkhead | aka: resource partitioning, bulkheading | resource-management
bureaucracy | Bureaucracy | aka: hierarchical control compound pattern | oo-patterns
byte-stuffing | Byte Stuffing | aka: character stuffing, delimiter framing with escaping, SLIP ESC framing, HDLC byte stuffing, escape stuffing, SLIP/PPP escaping | serialization-framing
bytecode | Bytecode | aka:  | data-representation
bytecode-virtual-machine | Bytecode Virtual Machine | aka: bytecode interpreter, VM, stack machine / register machine (implementation variants) | execution-concurrency
cache-aside | Cache-Aside | aka: lazy loading, look-aside cache, lazy caching | caching-memoization
cache-eviction-policy | Cache Eviction Policy | aka: cache replacement policy, page replacement policy, LRU, LFU, CLOCK, FIFO eviction, 2Q, LRU-K, ARC | caching-memoization
cache-stampede-protection | Cache Stampede Protection | aka: dog-pile prevention, dogpile effect mitigation, cache stampede prevention, request coalescing, singleflight (Go), duplicate call suppression, probabilistic early expiration / XFetch (variant), thundering herd mitigation (cache-miss form) | caching-memoization
caching | Caching | aka: Resource Cache, Cache | caching-memoization
callback | Callback | aka: callback function, call-after function, delegate, handler registration | communication
callback-with-context-pointer | Callback with Context Pointer | aka: user-data pointer, void* context argument, closure emulation in C | communication
callee-allocates | Callee Allocates | aka: callee-allocated result, library-allocated buffer with free function | resource-management
caller-owned-buffer | Caller-Owned Buffer | aka: caller-allocates, user-supplied buffer | resource-management
cancellation-token | Cancellation Token | aka: cancellation context, context propagation (Go context.Context), CancellationToken / CancellationTokenSource (.NET), cooperative cancellation, done channel (Go idiom precursor) | execution-concurrency
canonical-serialization | Canonical Serialization | aka: deterministic encoding, distinguished encoding (DER), canonicalization (JSON Canonicalization Scheme) | serialization-framing
canonicalization-before-validation | Canonicalization Before Validation | aka: input canonicalization, normalize before validate, path canonicalization | robustness-security
capability | Capability | aka: capability list, object-capability, unforgeable reference, capability token, access matrix by row | robustness-security
captain-oates | Captain Oates | aka: memory sacrifice, cache shedding on pressure | resource-management
chain-of-responsibility | Chain of Responsibility | aka:  | oo-patterns
check-point | Check Point | aka: Access Verification, Validation and Penalization | robustness-security
checked-arithmetic | Checked Arithmetic | aka: overflow-checked arithmetic, ckd_add/ckd_sub/ckd_mul (C23 stdckdint.h), __builtin_add_overflow (GCC/Clang), checked_add/overflowing_add (Rust), overflow detection, trapping arithmetic (variant) | numeric-precision
checkpointing | Checkpointing | aka: checkpoint, fuzzy checkpoint, database checkpoint, checkpoint/restart, snapshot state saving | persistence-durability
chunked-transfer-encoding | Chunked Transfer Encoding | aka: chunked transfer coding, chunked framing | serialization-framing
circuit-breaker | Circuit Breaker | aka:  | error-handling
claim-check | Claim Check | aka: reference-based messaging | communication
class-table-inheritance | Class Table Inheritance | aka:  | persistence-durability
cleanup-record | Cleanup Record | aka: acquisition tracking record | error-handling
client-dispatcher-server | Client-Dispatcher-Server | aka:  | communication
client-side-prediction | Client-Side Prediction | aka: prediction and reconciliation, server reconciliation (companion mechanism), input prediction, prediction with rewind-and-replay, prediction, client prediction, server reconciliation (companion correction step) | state-management
coarse-grained-lock | Coarse-Grained Lock | aka:  | synchronization-coordination
collecting-parameter | Collecting Parameter | aka:  | oo-patterns
collection-pipeline | Collection Pipeline | aka: method chaining over collections, streams pipeline, LINQ pipeline | functional-type-idioms
collections-for-states | Collections for States | aka:  | state-management
column-oriented-storage | Column-Oriented Storage | aka: columnar storage, column store layout, DSM (decomposition storage model) | data-representation
combined-method | Combined Method | aka:  | construction-api
command | Command | aka: Action, Transaction | oo-patterns
command-processor | Command Processor | aka:  | oo-patterns
compaction | Compaction | aka: memory compaction, defragmentation | resource-management
comparand | Comparand | aka: dedicated comparison value, cheap identity testing value | data-representation
compare-and-swap-loop | Compare-and-Swap Loop | aka: CAS, atomic variables, atomic read-modify-write, optimistic retry loop, CAS Retry Loop, read-modify-CAS loop, LL/SC retry loop | synchronization-coordination
competing-consumers | Competing Consumers | aka:  | execution-concurrency
complete-parameter-checking | Complete Parameter Checking | aka: defensive interface validation | error-handling
component | Component | aka: entity component | oo-patterns
component-configurator | Component Configurator | aka: Service Configurator | resource-management
composed-method | Composed Method | aka: compose methods out of intention-revealing calls | code-structure
composite | Composite | aka:  | oo-patterns
compression | Compression | aka: Table Compression, Difference Coding, Adaptive Compression, compressed in-memory representation | data-representation
concrete-table-inheritance | Concrete Table Inheritance | aka: leaf table inheritance | persistence-durability
condition-variable | Condition Variable | aka: condition queue, wait/notify condition | synchronization-coordination
conflict-free-replicated-data-type-crdt | Conflict-free Replicated Data Type (CRDT) | aka: convergent replicated data type (CvRDT), commutative replicated data type (CmRDT), G-Counter / PN-Counter / G-Set / OR-Set / LWW-Register / RGA (family members, folded) | data-structures
consistent-hashing | Consistent Hashing | aka: hash ring, rendezvous hashing (alternative), jump consistent hash (variant) | data-structures
consistent-overhead-byte-stuffing | Consistent Overhead Byte Stuffing | aka: COBS, byte stuffing (refines SLIP/HDLC-style escaping) | serialization-framing
constant-time-comparison | Constant-Time Comparison | aka: timing-safe equality, constant-time programming | robustness-security
construct-on-first-use | Construct On First Use | aka: Meyers singleton, function-local static, lazy static initialization | construction-api
container-of | container_of | aka: intrusive back-pointer recovery, offsetof-based container access | data-representation
content-addressable-storage | Content-Addressable Storage | aka: content addressing, content-addressed store, CAS (storage sense), hash-addressed storage, content-defined chunking deduplication (companion mechanism) | persistence-durability
content-based-router | Content-Based Router | aka:  | communication
context-object | Context Object | aka:  | state-management
continuation-passing-style | Continuation-Passing Style | aka: CPS, callback-passing style | functional-type-idioms
coordinator | Coordinator | aka: Task Coordinator | synchronization-coordination
copied-value | Copied Value | aka: Value Object (copy semantics) | functional-type-idioms
copy-and-swap | Copy-and-Swap | aka: create-a-temporary-and-swap | error-handling
copy-on-write | Copy-on-Write | aka: COW, lazy copy, COW string, thread-safe copy-on-write (variant), implicit sharing, copy-on-write pages | resource-management
copy-on-write-b-tree | Copy-on-Write B-Tree | aka: CoW B-tree, append-only B-tree | data-structures
core-dump | Core Dump | aka: crash dump, coredump capture, minidump, postmortem dump, fault dump, crash log with register/stack snapshot | error-handling
coroutine | Coroutine | aka: cooperative routine, generator (restricted form) | execution-concurrency
correcting-audits | Correcting Audits | aka: data audits, audit programs | error-handling
correlation-identifier | Correlation Identifier | aka: correlation id | communication
count-min-sketch | Count-Min Sketch | aka:  | data-structures
credit-based-flow-control | Credit-Based Flow Control | aka: credit scheme, Leaky Bucket of Credits (Meszaros), demand signaling (Reactive Streams request(n)), credit grant window | data-flow-buffering
critical-region | Critical Region | aka: critical section, interrupt masking, Mutex, mutual exclusion lock, lock, Single Threaded Execution | synchronization-coordination
cryptographic-hash-function | Cryptographic Hash Function | aka: message digest, one-way hash, collision-resistant hash, fingerprint / content hash (roles) | robustness-security
csp-channel | CSP Channel | aka: channel, synchronous channel, Go channel, message channel (in-process) | communication
csprng | Cryptographically Secure Pseudorandom Number Generator | aka: CSPRNG, DRBG (deterministic random bit generator), secure random source | robustness-security
curiously-recurring-template-pattern-crtp | Curiously Recurring Template Pattern (CRTP) | aka: static polymorphism idiom, F-bound polymorphism (theory name), CRTP, mixin from below, compile-time polymorphism, template-based polymorphism | oo-patterns
currying-partial-application | Currying / Partial Application | aka: curried function, curry, partial application, functools.partial (Python realization), sectioning (Haskell operator sections) | functional-type-idioms
custom-allocator | Custom Allocator | aka: pluggable allocator, allocator parameter, allocator model | resource-management
cyclic-executive | Cyclic Executive | aka: timeline scheduling, main-loop scheduler, frame-based executive, major/minor frame scheduling, Time-Triggered Cooperative Scheduler, TT scheduler, super-loop with timer tick | scheduling-time
cyclic-redundancy-check | Cyclic Redundancy Check | aka: CRC, cyclic code checksum, CRC Integrity Check, CRC validation, image/ROM checksum, message CRC, frame check sequence | error-handling
data-binding | Data Binding | aka: property binding, one-way binding, two-way binding | state-management
data-files | Data Files | aka: streamed processing from secondary storage | resource-management
data-locality | Data Locality | aka: cache-friendly data layout, structure of arrays / array of structures (SoA/AoS) | data-representation
data-mapper | Data Mapper | aka:  | persistence-durability
data-transfer-object | Data Transfer Object | aka: DTO, Transfer Object | data-representation
dead-letter-channel | Dead Letter Channel | aka: dead letter queue, DLQ | error-handling
dead-reckoning | Dead Reckoning | aka: dead reckoning models, predictive extrapolation of entity state, DIS dead reckoning, extrapolation (netcode) | state-management
deadline-propagation | Deadline Propagation | aka: propagated deadlines, cascading timeout budget | scheduling-time
deadlock-detection | Deadlock Detection | aka: waits-for graph detection, cycle detection in wait graph, deadlock victim selection | synchronization-coordination
debouncing | Debouncing | aka: debounce, switch debouncing, contact debouncing, de-glitching, switch debounce | scheduling-time
decomposed-and-state | Decomposed AND-State | aka: AND-state decomposition, orthogonal regions implementation | state-management
decorator | Decorator | aka: Wrapper (GoF alias, shared with Adapter) | oo-patterns
dedicated-ownership | Dedicated Ownership | aka: single owner, explicit ownership convention, Caller-Owned Instance (Fluent C) | resource-management
defensive-copy | Defensive Copy | aka: defensive copying, copy-in/copy-out at trust boundaries | robustness-security
deferrable-work | Deferrable Work | aka: deferred non-critical processing | scheduling-time
deferred-event | Deferred Event | aka: event deferral | state-management
deferred-interrupt-processing | Deferred Interrupt Processing | aka: top half / bottom half, ISR with deferred work, tasklet, deferred procedure call, deferred procedure call (DPC), interrupt handler split, PendSV-deferred processing, Deferred Interrupt Handling, bottom half, softirq, second-level interrupt handler (SLIH), work queue deferral | embedded-systems
deferred-validation | Deferred Validation | aka: validate on use, delayed integrity checking | error-handling
defunctionalization | Defunctionalization | aka: defunctionalisation, closure conversion by tags | functional-type-idioms
delegation | Delegation | aka: object composition forwarding | oo-patterns
delta-encoding | Delta Encoding | aka: delta compression, differencing, delta timestamps | serialization-framing
deoptimization | Deoptimization | aka: dynamic deoptimization, deopt, on-stack replacement (OSR, the frame-replacement mechanism, folded), uncommon trap (HotSpot), bailout (JS-engine usage), tiering down | execution-concurrency
dependency-injection | Dependency Injection | aka: DI, constructor injection, setter injection, interface injection | construction-api
dependent-mapping | Dependent Mapping | aka:  | persistence-durability
deque | Deque | aka: double-ended queue | data-structures
design-by-contract | Design by Contract | aka: contracts, preconditions/postconditions/invariants, programming by contract | construction-api
deterministic-lockstep | Deterministic Lockstep | aka: lockstep simulation, lockstep protocol, input-synchronous simulation, synchronized simulation, lockstep networking | state-management
device-driver | Device Driver | aka: driver | embedded-systems
diagnostic-context | Diagnostic Context | aka: mapped diagnostic context (MDC), nested diagnostic context (NDC), log context, contextual logging | error-handling
diagnostic-logger | Diagnostic Logger | aka: logger, logging facility, centralized diagnostic logging | error-handling
dictionary-encoding | Dictionary Encoding | aka: dictionary compression, domain encoding, dictionary encoding with patching (variant) | data-representation
direct-memory-access-dma-transfer | Direct Memory Access (DMA) Transfer | aka: DMA, double-buffered DMA, DMA ping-pong, DMA double-buffer mode, circular DMA with half-transfer interrupt, DMA memory-pointer swap | embedded-systems
direct-to-task-notification | Direct-to-Task Notification | aka: task notification, notification value, thread flags (CMSIS-RTOS2 analog), lightweight task signal | synchronization-coordination
dirty-checking | Dirty Checking | aka: change detection by comparison, digest cycle (AngularJS) | state-management
dirty-flag | Dirty Flag | aka: dirty bit | state-management
dirty-rectangles | Dirty Rectangles | aka: dirty-rectangle animation, dirty region tracking, damage rectangles, damage regions, invalidation rectangles | state-management
disjoint-set-union-find | Disjoint-Set (Union-Find) | aka: union-find, merge-find set, disjoint-set forest | data-structures
dispose-pattern | Dispose Pattern | aka: IDisposable pattern, try-with-resources (Java), using statement, Basic Dispose Pattern, context manager (Python with-statement) | resource-management
disruptor | Disruptor | aka: LMAX Disruptor, ring buffer with sequence barriers, mechanical-sympathy ring buffer | data-flow-buffering
domain-event | Domain Event | aka:  | communication
domain-service | Domain Service | aka: Service (DDD) | oo-patterns
double-buffer | Double Buffer | aka: double buffering, page flipping | data-flow-buffering
double-checked-locking | Double-Checked Locking | aka: DCLP, Double-Checked Locking Optimization, Lock Hint, DCL | synchronization-coordination
double-dispatch | Double Dispatch | aka:  | oo-patterns
draw-call-batching | Draw-Call Batching | aka: batching (rendering), static batching, dynamic batching, sprite batching (SpriteBatch), geometry instancing / GPU instancing (single-call many-instances variant) | data-flow-buffering
dual-channel | Dual Channel | aka: homogeneous/heterogeneous dual channel | robustness-security
dynamic-array | Dynamic Array | aka: growable array, dynamic table, resizable array, vector (C++), ArrayList (Java) | data-structures
dynamic-priority-scheduling | Dynamic Priority Scheduling | aka: earliest deadline first, EDF, Dynamic Priority Pattern, deadline scheduling | scheduling-time
eager-acquisition | Eager Acquisition | aka:  | resource-management
eeprom-emulation-in-flash | EEPROM Emulation in Flash | aka: flash-based parameter storage, emulated EEPROM | persistence-durability
effect-handler | Effect Handler | aka: algebraic effect handler, algebraic effects and handlers | functional-type-idioms
embedded-domain-specific-language | Embedded Domain-Specific Language | aka: EDSL, internal DSL, domain-specific embedded language | construction-api
embedded-pointer | Embedded Pointer | aka: intrusive links, intrusive linked list, intrusive container, embedded list node (Linux list_head style) | data-structures
embedded-value | Embedded Value | aka: aggregate mapping, composer | persistence-durability
empty-base-optimization-ebo | Empty Base Optimization (EBO) | aka: empty member optimization, EBCO | data-representation
entity | Entity | aka: Reference Object | data-representation
entity-component-system | Entity Component System | aka: ECS, entity system, component entity system | data-representation
enumeration-method | Enumeration Method | aka: Internal Iterator, Callback Iterator (Fluent C) | construction-api
envelope-letter | Envelope-Letter | aka:  | oo-patterns
epoch-based-reclamation | Epoch-Based Reclamation | aka: EBR, epoch GC | resource-management
epsilon-ulp-float-comparison | Epsilon/ULP Floating-Point Comparison | aka: approximate float equality, relative-epsilon comparison, AlmostEqualRelative, AlmostEqualUlps, ULP-based comparison, essentially equal (Knuth), tolerance comparison | numeric-precision
erase-remove | Erase-Remove | aka: remove-erase idiom | data-structures
error-correcting-codes | Error-Correcting Codes | aka: ECC, Hamming code, forward error correction, FEC | data-representation
error-handler | Error Handler | aka: separated error-processing code | error-handling
error-kernel | Error Kernel | aka:  | error-handling
escalation | Escalation | aka: recovery escalation ladder | error-handling
escape-sequence | Escape Sequence | aka: character escaping, escape character, entity encoding (HTML/XML variant) | parsing-text
escaping-ifdef-hell | Escaping #ifdef Hell | aka: conditional-compilation isolation, variant abstraction | code-structure
event-aggregator | Event Aggregator | aka: event bus, in-process publish-subscribe, in-process event bus | communication
event-coalescing | Event Coalescing | aka: coalesced events, input event merging | data-flow-buffering
event-delegation | Event Delegation | aka: delegated event handling | communication
event-driven-consumer | Event-Driven Consumer | aka: asynchronous receiver | communication
event-driven-parsing | Event-Driven Parsing | aka: SAX-style parsing, push parsing, streaming parsing, pull parsing (StAX variant) | parsing-text
event-flags-group | Event Flags Group | aka: event group (FreeRTOS), event flags (CMSIS-RTOS2, ThreadX, uC/OS), event register, event set, AND/OR flag wait | synchronization-coordination
event-loop | Event Loop | aka: message loop, message pump, dispatch loop, run loop | execution-concurrency
event-sourcing | Event Sourcing | aka:  | persistence-durability
event-time-watermark | Watermark (Event-Time) | aka: low watermark, event-time watermark, perfect watermark / heuristic watermark (variants), watermark propagation | data-flow-buffering
eventcount | Eventcount | aka: eventcounts and sequencers, event count with sequencer | synchronization-coordination
evictor | Evictor | aka:  | resource-management
exceptional-value | Exceptional Value | aka: exceptional value object, distinguished out-of-range value | error-handling
execute-around-method | Execute Around Method | aka: Execute-Around Object, Execute Around idiom, execute-around pointer (C++), loan pattern (Scala), with-style resource block | resource-management
executor | Executor | aka: executor service, task-queue execution model, task executor | execution-concurrency
explicit-interface | Explicit Interface | aka:  | construction-api
expression-builder | Expression Builder | aka:  | construction-api
expression-templates | Expression Templates | aka: lazy expression trees via templates | functional-type-idioms
extension-interface | Extension Interface | aka:  | construction-api
extension-object | Extension Object | aka: extension interface (POSA2 relative) | oo-patterns
external-polymorphism | External Polymorphism | aka: adapter-based polymorphism | oo-patterns
facade | Facade | aka:  | oo-patterns
facade-backend-module-pattern | Facade/Backend Module Pattern | aka: pw facade pattern, link-time facade, compile-time facade | construction-api
factory-method | Factory Method | aka: Virtual Constructor | oo-patterns
fail-fast | Fail Fast | aka: precondition rejection | error-handling
false-sharing-avoidance-via-cache-line-padding | False-Sharing Avoidance via Cache-Line Padding | aka: cache-line alignment, padding to cache line, hardware_destructive_interference_size | execution-concurrency
fast-path | Fast Path | aka: fast path / slow path split, Parallel Fastpath (McKenney), Optimize High-Runner Cases (Meszaros), common-case optimization path | execution-concurrency
feature-flag | Feature Flag | aka: feature toggle, feature switch, toggle point, toggle router, release toggle / ops toggle / experiment toggle / permission toggle (variants), toggle point + toggle router (implementation elements), release/ops/experiment/permission toggles (categories) | code-structure
fencing-token | Fencing Token | aka: fencing, monotonic lock token | synchronization-coordination
fenwick-tree | Fenwick Tree | aka: binary indexed tree, BIT | data-structures
finite-state-machine | Finite State Machine | aka: FSM, finite automaton, state machine | state-management
fixed-capacity-container | Fixed-Capacity Container | aka: static container, no-heap container, etl::vector-style container | data-structures
fixed-point-arithmetic | Fixed-Point Arithmetic | aka: Q format, Qm.n arithmetic, binary scaling | numeric-precision
fixed-sized-buffer | Fixed Sized Buffer | aka: fixed-size allocation | resource-management
fixed-timestep | Fixed Timestep | aka: fixed time step, timestep accumulator loop, semi-fixed timestep (variant) | scheduling-time
flash-translation-layer | Flash Translation Layer | aka: FTL, logical-to-physical flash mapping, flash mapping layer, out-of-place flash update | persistence-durability
flash-wear-leveling | Flash Wear Leveling | aka: wear levelling, erase-cycle balancing | persistence-durability
flat-combining | Flat Combining | aka: combining funnel (ancestor), delegation via combiner | synchronization-coordination
fluent-interface | Fluent Interface | aka: fluent API, method chaining (enabling technique) | construction-api
flyweight | Flyweight | aka:  | oo-patterns
foreign-key-mapping | Foreign Key Mapping | aka:  | persistence-durability
fork-join | Fork-Join | aka: fork/join parallelism, divide-and-conquer parallelism | execution-concurrency
forwarder-receiver | Forwarder-Receiver | aka:  | communication
four-phase-test | Four-Phase Test | aka: setup-exercise-verify-teardown, Arrange-Act-Assert (AAA), Given-When-Then (BDD phrasing) | testing-constructs
free-list | Free List | aka: available list, freelist, list of available space, intrusive free list, segregated free lists, size-class bins | resource-management
free-monad | Free Monad | aka: free monad interpreter pattern, program-as-data | functional-type-idioms
fresh-work-before-stale | Fresh Work Before Stale | aka: adaptive LIFO, newest-first queue discipline | data-flow-buffering
full-view-with-errors | Full View With Errors | aka: Full Access with Errors | robustness-security
function-control | Function Control | aka: control parameter, flag argument, mode parameter | construction-api
function-object | Function Object | aka: functor, callable object, lambda object (modern form) | functional-type-idioms
function-pointer-dispatch-table | Function Pointer Dispatch Table | aka: dispatch table, jump table, branch table, Dynamic Interface (Fluent C), pointer-to-function array | oo-patterns
functional-core-imperative-shell | Functional Core, Imperative Shell | aka: impureim sandwich | functional-type-idioms
functional-options | Functional Options | aka: functional options pattern, self-referential functions as options, option functions, self-referential functions and options (Pike) | construction-api
functional-reactive-programming | Functional Reactive Programming | aka: FRP, behaviors and events, reactive combinators | data-flow-buffering
futex | Futex | aka: fast userspace mutex, futex-based blocking | synchronization-coordination
future-promise | Future / Promise | aka: future, promise, deferred, IOU, delay object | execution-concurrency
game-loop | Game Loop | aka: fixed timestep loop, update-render loop | execution-concurrency
gap-buffer | Gap Buffer | aka:  | data-structures
garbage-collection | Garbage Collection | aka: automatic memory reclamation, garbage compactor, compacting collector, Tracing Garbage Collection, mark-sweep, mark-compact, copying collection | resource-management
gateway | Gateway | aka:  | communication
gc-read-barrier | GC Read Barrier | aka: read barrier, load barrier | resource-management
gc-write-barrier | GC Write Barrier | aka: write barrier, card table (folded implementation variant), card marking, remembered-set maintenance (role), snapshot-at-the-beginning barrier (variant), incremental-update barrier (variant), Yuasa barrier / Dijkstra barrier / Steele barrier (variants) | resource-management
generation-gap | Generation Gap | aka: generated core class + hand-written subclass, regeneration-safe extension | code-structure
golden-master-testing | Golden Master Testing | aka: approval testing, snapshot testing, characterization testing (legacy-code framing), reference-output testing, golden file testing | testing-constructs
goto-cleanup | Goto Cleanup | aka: goto error handling (Fluent C), centralized exiting of functions (Linux kernel), goto chain, cleanup record (variant), Goto Error Cleanup, goto error handling, centralized function exit | error-handling
governor | Governor | aka: automation rate limiter | scheduling-time
green-threads | Green Threads | aka: fibers, user-level threads, lightweight threads, virtual threads | execution-concurrency
group-commit | Group Commit | aka: batch commit | persistence-durability
guard-clause | Guard Clause | aka: early return, replace nested conditional with guard clauses, bouncer pattern | error-handling
guard-page | Guard Page | aka: red zone, redzone, guard region, PAGE_GUARD, electric fence | robustness-security
guarded-call | Guarded Call | aka: mutex-protected call, protected synchronous call | synchronization-coordination
guarded-suspension | Guarded Suspension | aka: guarded wait, guarded methods | synchronization-coordination
half-object-plus-protocol | Half-Object plus Protocol | aka: HOPP | communication
half-sync-half-async | Half-Sync/Half-Async | aka:  | execution-concurrency
handshaking | Handshaking | aka: can-you-handle-this signaling | communication
happy-eyeballs | Happy Eyeballs | aka: fast fallback, connection racing, dual-stack connection attempts | error-handling
hardware-abstraction-layer | Hardware Abstraction Layer | aka: HAL, driver abstraction interface, MCU peripheral abstraction | construction-api
hardware-adapter | Hardware Adapter | aka:  | embedded-systems
hardware-proxy | Hardware Proxy | aka:  | embedded-systems
hash-array-mapped-trie-hamt | Hash Array Mapped Trie (HAMT) | aka: ideal hash tree, persistent hash map, CHAMP (variant) | data-structures
hash-table | Hash Table | aka: hash map, dictionary, associative array, unordered map | data-structures
hazard-pointers | Hazard Pointers | aka: SMR via hazard pointers | resource-management
heartbeat | Heartbeat | aka: liveness ping, keepalive, TCP keepalive, liveness probe, application-level keepalive | error-handling
hedged-request | Hedged Request | aka: backup request, request hedging | communication
hidden-class | Hidden Class | aka: maps (Self, original name), shapes (SpiderMonkey), Structures (JavaScriptCore), object shapes, shape/map transition tree (mechanism detail) | data-representation
hierarchical-state-machine | Hierarchical State Machine | aka: statechart, HSM, Harel statechart, UML state machine | state-management
hook-method | Hook Method | aka: hook operation, hot spot method | oo-patterns
hooks | Hooks | aka: indirection over ROM, patch table | resource-management
hot-code-reload | Hot Code Reload | aka: hot code loading, code replacement (Erlang/OTP), dynamic software updating (DSU), hot swapping, live code reload, edit-and-continue (IDE variant) | code-structure
html-sanitization | HTML Sanitization | aka: markup sanitization, HTML sanitizer, DOM-based sanitization | robustness-security
humble-object | Humble Object | aka: humble dialog, humble executable | testing-constructs
hydration | Hydration | aka: client-side hydration, rehydration | state-management
hyperloglog | HyperLogLog | aka: LogLog (predecessor), HLL++ | data-structures
idempotent-receiver | Idempotent Receiver | aka: idempotent consumer, idempotency key, message deduplication | communication
identity-field | Identity Field | aka:  | persistence-durability
identity-map | Identity Map | aka:  | caching-memoization
idle-task-hook | Idle Task Hook | aka: idle hook, vApplicationIdleHook, idle callback, idle-time background processing | scheduling-time
immediate-mode-gui | Immediate-Mode GUI | aka: IMGUI, immediate mode (graphics API) | construction-api
immutable-value | Immutable Value | aka: Immutable Object, Immutable, value object (overlapping), value immutability, Immutable Instance (Fluent C) | state-management
implicit-lock | Implicit Lock | aka:  | synchronization-coordination
